day,1964-66,1997-98,1998-2002 dot-com,2020-22,2023-25,2025-26 current
731,,,-0.3,,,
732,,,-0.44,,,
733,,,-0.5,,,
734,,,-0.37,,,
735,,,-0.43,,,
736,,,-0.44,,,
737,,,-0.52,,,
738,,,-0.42,,,
739,,,-0.4,,,
740,,,-0.33,,,
741,,,-0.2,,,
742,,,0.05,,,
743,,,0.17,,,
744,,,0.06,,,
745,,,0.14,,,
746,,,0.24,,,
747,,,0.3,,,
748,,,0.31,,,
749,,,0.24,,,
750,,,0.24,,,
751,,,0.05,,,
752,,,0.04,,,
753,,,0.01,,,
754,,,-0.04,,,
755,,,0.18,,,
756,,,0.3,,,
757,,,0.46,,,
758,,,0.43,,,
759,,,0.39,,,
760,,,0.28,,,
761,,,0.39,,,
762,,,0.5,,,
763,,,0.52,,,
764,,,0.42,,,
765,,,0.34,,,
766,,,0.34,,,
767,,,0.38,,,
768,,,0.44,,,
769,,,0.48,,,
770,,,0.39,,,
771,,,0.41,,,
772,,,0.33,,,
773,,,0.46,,,
774,,,0.42,,,
775,,,0.44,,,
776,,,0.35,,,
777,,,0.36,,,
778,,,0.36,,,
779,,,0.26,,,
780,,,0.18,,,
781,,,0.17,,,
782,,,0.14,,,
783,,,0.14,,,
784,,,0.24,,,
785,,,0.2,,,
786,,,0.22,,,
787,,,0.31,,,
788,,,0.33,,,
789,,,0.36,,,
790,,,0.38,,,
791,,,0.28,,,
792,,,0.28,,,
793,,,0.33,,,
794,,,0.28,,,
795,,,0.2,,,
796,,,0.18,,,
797,,,0.18,,,
798,,,0.19,,,
799,,,0.16,,,
800,,,0.17,,,
801,,,0.23,,,
802,,,0.27,,,
803,,,0.21,,,
804,,,0.12,,,
805,,,0.14,,,
806,,,0.14,,,
807,,,0.14,,,
808,,,0.1,,,
809,,,0.12,,,
810,,,0.19,,,
811,,,0.1,,,
812,,,0.14,,,
813,,,0.24,,,
814,,,0.28,,,
815,,,0.28,,,
816,,,0.32,,,
817,,,0.48,,,
818,,,0.59,,,
819,,,0.59,,,
820,,,0.58,,,
821,,,0.54,,,
822,,,0.66,,,
823,,,0.61,,,
824,,,0.58,,,
825,,,0.59,,,
826,,,0.66,,,
827,,,0.65,,,
828,,,0.66,,,
829,,,0.67,,,
830,,,0.61,,,
831,,,0.61,,,
832,,,0.68,,,
833,,,0.7,,,
834,,,0.62,,,
835,,,0.56,,,
836,,,0.54,,,
837,,,0.48,,,
838,,,0.51,,,
839,,,0.48,,,
840,,,0.5,,,
841,,,0.48,,,
842,,,0.44,,,
843,,,0.41,,,
844,,,0.46,,,
845,,,0.5,,,
846,,,0.49,,,
847,,,0.47,,,
848,,,0.45,,,
849,,,0.44,,,
850,,,0.37,,,
851,,,0.36,,,
852,,,0.34,,,
853,,,0.39,,,
854,,,0.37,,,
855,,,0.34,,,
856,,,0.39,,,
857,,,0.34,,,
858,,,0.36,,,
859,,,0.35,,,
860,,,0.5,,,
861,,,0.46,,,
862,,,0.41,,,
863,,,0.49,,,
864,,,0.58,,,
865,,,0.54,,,
866,,,0.46,,,
867,,,0.53,,,
868,,,0.47,,,
869,,,0.44,,,
870,,,0.39,,,
871,,,0.42,,,
872,,,0.42,,,
873,,,0.42,,,
874,,,0.37,,,
875,,,0.32,,,
876,,,0.34,,,
877,,,0.32,,,
878,,,0.3,,,
879,,,0.34,,,
880,,,0.3,,,
881,,,0.36,,,
882,,,0.33,,,
883,,,0.28,,,
884,,,0.24,,,
885,,,0.2,,,
886,,,0.09,,,
887,,,0.15,,,
888,,,0.14,,,
889,,,0.02,,,
890,,,0.11,,,
891,,,0.05,,,
892,,,0.13,,,
893,,,0.14,,,
894,,,0.01,,,
895,,,0.1,,,
896,,,0.12,,,
897,,,0.11,,,
898,,,0.03,,,
899,,,0.04,,,
900,,,0.16,,,
901,,,0.1,,,
902,,,0.04,,,
903,,,-0.08,,,
904,,,-0.08,,,
905,,,-0.11,,,
906,,,-0.08,,,
907,,,0.01,,,
908,,,-0.03,,,
909,,,-0.08,,,
910,,,-0.13,,,
911,,,-0.23,,,
912,,,-0.27,,,
913,,,-0.25,,,
914,,,-0.31,,,
915,,,-0.31,,,
916,,,-0.12,,,
917,,,-0.09,,,
918,,,-0.23,,,
919,,,-0.27,,,
920,,,-0.41,,,
921,,,-0.45,,,
922,,,-0.32,,,
923,,,-0.39,,,
924,,,-0.34,,,
925,,,-0.47,,,
926,,,-0.52,,,
927,,,-0.62,,,
928,,,-0.68,,,
929,,,-0.57,,,
930,,,-0.42,,,
931,,,-0.45,,,
932,,,-0.57,,,
933,,,-0.54,,,
934,,,-0.44,,,
935,,,-0.49,,,
936,,,-0.52,,,
937,,,-0.45,,,
938,,,-0.52,,,
939,,,-0.58,,,
940,,,-0.6,,,
941,,,-0.76,,,
942,,,-0.78,,,
943,,,-0.83,,,
944,,,-0.69,,,
945,,,-0.69,,,
946,,,-0.74,,,
947,,,-0.67,,,
948,,,-0.76,,,
949,,,-0.82,,,
950,,,-0.84,,,
951,,,-0.87,,,
952,,,-0.88,,,
953,,,-0.95,,,
954,,,-0.95,,,
955,,,-1.04,,,
956,,,-1.05,,,
957,,,-0.97,,,
958,,,-0.95,,,
959,,,-1.05,,,
960,,,-1.11,,,
